IK	IA	PPZR
1	ADANA	12.925229423219506
2	ADIYAMAN	7.340014135225996
3	AFYONKARAHİSAR	6.96091629859984
4	AĞRI	3.6889606547009515
5	AMASYA	4.381976192028369
6	ANKARA	11.091047827416284
7	ANTALYA	2.8988702881285193
8	ARTVİN	1.8448662184118603
9	AYDIN	3.294468070646735
10	BALIKESİR	6.021073187522215
11	BİLECİK	23.5583609703983
12	BİNGÖL	5.3428073324888965
13	BİTLİS	8.809668959988857
14	BOLU	6.139468452522131
15	BURDUR	7.987645815066449
16	BURSA	11.417662353148994
17	ÇANAKKALE	2.891487244952411
18	ÇANKIRI	5.588340062638249
19	ÇORUM	5.299165642368402
20	DENİZLİ	11.601780877105627
21	DİYARBAKIR	7.212517992911171
22	EDİRNE	18.660699822693797
23	ELAZIĞ	4.999069809567536
24	ERZİNCAN	2.6018807149709327
25	ERZURUM	2.962575758164214
26	ESKİŞEHİR	9.760194631414093
27	GAZİANTEP	10.42184589273618
28	GİRESUN	2.661199752660101
29	GÜMÜŞHANE	4.818408419690691
30	HAKKARİ	2.0323296169944456
31	HATAY	6.679107029090398
32	ISPARTA	5.429457018437987
33	MERSİN	1.7795511026184507
34	İSTANBUL	24.233856827692932
35	İZMİR	9.278029543330096
36	KARS	1.4544636825422104
37	KASTAMONU	13.12710961873813
38	KAYSERİ	4.590426749031668
39	KIRKLARELİ	22.947272030736123
40	KIRŞEHİR	7.23017419300264
41	KOCAELİ	23.576962821213478
42	KONYA	4.296897029476322
43	KÜTAHYA	10.3374607546742
44	MALATYA	5.366749219511754
45	MANİSA	11.2502143150563
46	KAHRAMANMARAŞ	7.568123746760472
47	MARDİN	5.479051828549232
48	MUĞLA	6.053536216900411
49	MUŞ	6.603933673073632
50	NEVŞEHİR	4.945463930505591
51	NİĞDE	14.14597848375081
52	ORDU	4.282357429666628
53	RİZE	3.3920655476931505
54	SAKARYA	18.71906197247495
55	SAMSUN	5.6648110962270275
56	SİİRT	1.8783857256968037
57	SİNOP	2.136771590486157
58	SİVAS	3.759131861654986
59	TEKİRDAĞ	18.010021411083642
60	TOKAT	4.24009212252306
61	TRABZON	2.6658928192854874
62	TUNCELİ	3.1461299272733765
63	ŞANLIURFA	3.4285329297081306
64	UŞAK	10.348147077558744
65	VAN	3.1656310402262675
66	YOZGAT	10.727157444995292
67	ZONGULDAK	4.516950290257214
68	AKSARAY	9.573433485910607
69	BAYBURT	2.26923599837674
70	KARAMAN	5.131862726042991
71	KIRIKKALE	18.881549014204367
72	BATMAN	2.88446883902015
73	ŞIRNAK	3.25844883481581
74	BARTIN	1.609886895867015
75	ARDAHAN	1.9809779923864133
76	IĞDIR	2.391393283303829
77	YALOVA	20.983185209768884
78	KARABÜK	9.270068675583905
79	KİLİS	10.049625160248418
80	OSMANİYE	13.4325206138492
81	DÜZCE	27.27949646218607
